default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,account_age_days,follower_friend_ratio,tweets_per_follower,profile_completeness,description_has_url,name_has_numbers,account_type_encoded
0,0,4.0,1589,4.0,0,11041,0,7.869565217391305,1403,317.8,6.944025157232704,0.75,0,0,0
0,0,536.0,860,880.0,0,252,0,0.182741116751269,1379,0.9761634506242906,0.2926829268292683,0.75,0,0,1
0,0,3307.0,172,594.0,1,1001,0,0.8636755823986195,1159,0.2890756302521008,5.786127167630058,1.0,0,0,1
1,0,8433.0,517,633.0,1,1324,0,0.8891873740765615,1489,0.8154574132492114,2.555984555984556,0.75,0,1,1
0,0,88.0,21010,116.0,1,4202,1,1.3390694710006374,3138,179.57264957264957,0.1999904811765265,1.0,0,0,1
1,0,237.0,21010,542.0,0,11513,0,8.428257686676428,1366,38.69244935543278,0.5479510732473466,0.5,0,1,0
0,0,5522.0,21010,1581.0,1,14535,1,3.580931263858093,4059,13.280657395701644,0.691780495930703,1.0,1,0,1
0,0,756.0,21010,40.0,0,1223,1,0.421433494141971,2902,512.439024390244,0.0582076055399552,0.75,0,0,1
1,0,64.0,24,0.0,0,277,0,0.0988579586009992,2802,24.0,11.08,0.25,0,0,1
0,0,21654.5,2130,2174.5,1,40853,0,13.066813538490877,3108,0.9790852677545392,19.17081182543407,1.0,0,0,1
0,0,127.0,32,0.0,0,921,0,0.2900787401574803,3175,32.0,27.90909090909091,0.75,0,0,1
0,0,0.0,21010,26.0,0,24087,0,10.700577521101732,2251,778.1481481481482,1.1463995050211797,0.75,1,0,0
0,0,16614.0,21010,643.0,1,36392,1,8.623696682464455,4220,32.62422360248447,1.732045119223264,1.0,0,0,1
0,0,21654.5,21010,1574.0,0,40853,1,13.066813538490877,3360,13.33968253968254,1.944362476797868,0.75,0,0,1
0,0,4071.0,21010,562.0,1,6029,1,1.6859619686800895,3576,37.31793960923624,0.2869449336062062,1.0,0,0,1
0,0,21654.5,5281,581.0,1,40853,0,13.066813538490877,2920,9.073883161512027,7.734380916319576,1.0,0,0,1
1,0,139.0,0,0.0,0,272,0,0.188235294117647,1445,0.0,272.0,0.5,0,0,1
1,0,41.0,0,0.0,0,105,0,0.0727146814404432,1444,0.0,105.0,0.5,0,0,1
0,0,12686.0,2365,296.0,1,18309,0,5.85888,3125,7.962962962962963,7.738377007607776,1.0,0,0,1
1,0,510.0,6,33.0,0,639,0,0.1971005552128316,3242,0.1764705882352941,91.28571428571428,0.25,0,0,0
0,0,534.0,21010,455.0,1,9074,1,2.690984578884935,3372,46.07456140350877,0.4318690209890057,1.0,0,1,1
1,0,187.0,4,0.0,0,23,0,0.0083910981393651,2741,4.0,4.6,0.5,1,0,0
1,0,21654.5,21010,2174.5,1,21947,1,6.324783861671469,3470,9.65754998850839,1.0445480938555995,0.75,0,0,1
0,0,4282.0,9179,1275.0,1,11104,1,3.3946805258330786,3271,7.193573667711599,1.2095860566448802,1.0,0,0,1
0,0,588.0,21010,115.0,0,40853,1,13.066813538490877,4507,181.1206896551724,1.944362476797868,0.75,0,0,1
0,0,21654.5,585,900.0,1,8803,0,2.5982880755608027,3388,0.6492785793562708,15.022184300341298,1.0,0,0,1
1,0,307.0,3745,2.0,0,2371,0,2.3615537848605577,1004,1248.3333333333333,0.6329418045915643,0.5,0,0,0
1,0,9678.0,137,140.0,1,7043,0,1.8110053998457187,3889,0.9716312056737588,51.03623188405797,0.75,0,0,1
1,0,171.0,21010,984.0,0,26368,0,8.547163695299838,3085,21.32994923857868,1.2549616867355196,0.5,0,1,1
0,0,7612.0,5362,355.0,1,10273,0,2.678748370273794,3835,15.061797752808989,1.9155323512959164,1.0,0,0,1
1,0,6184.0,704,598.0,0,5675,0,2.2855416834474425,2483,1.1752921535893155,8.049645390070921,0.5,0,0,1
0,0,2361.0,64,156.0,1,2780,0,0.8559113300492611,3248,0.4076433121019108,42.76923076923077,1.0,0,1,0
1,0,125.0,3,0.0,0,19,0,0.006453804347826,2944,3.0,4.75,0.5,1,1,0
0,0,915.0,267,246.0,1,1337,0,0.7234848484848485,1848,1.0809716599190284,4.9888059701492535,1.0,0,0,1
0,0,13869.0,21010,1247.0,1,40853,1,13.066813538490877,4181,16.834935897435898,1.944362476797868,1.0,1,0,1
0,0,2554.0,387,328.0,0,27929,0,6.928553708757132,4031,1.17629179331307,71.98195876288659,0.75,0,0,1
1,0,21654.5,276,509.0,1,30093,0,8.598,3500,0.5411764705882353,108.63898916967509,0.75,0,1,1
0,0,16011.0,21010,1031.0,1,33820,1,8.065823992368232,4193,20.358527131782942,1.6096330493550997,1.0,1,0,1
1,0,1332.0,12,11.0,0,1332,0,0.9110807113543092,1462,1.0,102.46153846153848,0.5,0,1,0
0,0,618.0,21010,1748.0,1,40853,1,13.066813538490877,4215,12.0125786163522,1.944362476797868,1.0,0,0,0
0,0,722.0,1300,1137.0,1,40853,0,13.066813538490877,3510,1.1423550087873462,31.401229823212912,0.75,0,0,1
0,0,21654.5,184,436.0,0,3569,0,1.303030303030303,2739,0.4210526315789473,19.291891891891893,0.75,0,0,1
0,0,2896.0,338,743.0,1,7167,0,3.1351706036745406,2286,0.4543010752688172,21.141592920353983,0.75,0,0,1
0,0,1.0,93,233.0,0,3733,0,1.2267499178442327,3043,0.3974358974358974,39.712765957446805,0.75,0,0,1
0,0,2583.0,108,0.0,0,5626,0,1.3456110978234872,4181,108.0,51.61467889908257,0.75,0,0,0
0,0,9955.0,21010,850.0,1,38906,1,11.627615062761508,3346,24.688601645123384,1.851696730284137,1.0,0,0,1
1,0,2925.0,21010,628.0,1,2619,1,0.7737075332348596,3385,33.40222575516693,0.1246489933844176,0.75,0,0,1
0,0,1325.0,25,851.0,0,1807,0,0.4440894568690096,4069,0.0293427230046948,69.5,0.75,0,1,0
0,0,5023.0,21010,286.0,0,9728,0,2.786594099112002,3491,73.20557491289199,0.4629955737470849,0.75,0,1,1
0,0,253.0,317,413.0,1,3110,0,1.498073217726397,2076,0.7657004830917874,9.77987421383648,1.0,0,1,0
0,0,0.0,21010,2174.5,0,36737,0,9.644788658440536,3809,9.65754998850839,1.7484650897149112,0.5,0,0,1
1,0,0.0,916,0.0,0,3416,0,1.6558410082404265,2063,916.0,3.725190839694657,0.25,0,0,0
0,0,708.0,21010,867.0,1,6130,1,1.6152832674571804,3795,24.205069124423964,0.2917519394602827,1.0,0,0,1
1,0,247.0,23,267.0,0,100,0,0.036036036036036,2775,0.085820895522388,4.166666666666667,0.5,1,1,0
1,0,2404.0,61,28.0,1,3288,0,0.8623131392604249,3813,2.103448275862069,53.03225806451613,0.5,0,1,0
0,0,3617.0,21010,935.0,1,40853,1,13.066813538490877,4117,22.4465811965812,1.944362476797868,1.0,1,1,0
0,0,5.0,197,7.0,0,14599,0,13.066813538490877,957,24.625,73.73232323232324,0.75,0,0,0
0,0,9557.0,205,702.0,1,1916,0,0.7735163504238999,2477,0.2916073968705547,9.300970873786408,1.0,0,1,1
